Start	Stop	Strand	Number of Genes	Genes
254220	257013	+	3	Cbei_0223, Cbei_0224, Cbei_0225
262194	263959	+	2	Cbei_0231, Cbei_0232
268865	272306	+	3	Cbei_0236, Cbei_0237, Cbei_0238
272922	275241	+	2	Cbei_0239, Cbei_0240
278207	281845	+	3	Cbei_0243, Cbei_0244, Cbei_0245
316679	318828	+	2	Cbei_0261, Cbei_0262
321510	321885	+	2	Cbei_0265, Cbei_0266
322475	324539	+	2	Cbei_0267, Cbei_0268
329683	331430	-	2	Cbei_0274, Cbei_0275
333631	334639	+	2	Cbei_0278, Cbei_0279
335615	338484	+	4	Cbei_0281, Cbei_0282, Cbei_0283, Cbei_0284
346478	349712	+	2	Cbei_0291, Cbei_0292
362859	363583	+	2	Cbei_0303, Cbei_0304
374870	377467	+	2	Cbei_0311, Cbei_0312
377805	379307	+	2	Cbei_0313, Cbei_0314
379586	382879	+	2	Cbei_0315, Cbei_0316
388286	391248	+	3	Cbei_0322, Cbei_0323, Cbei_0324
403535	407519	+	4	Cbei_0334, Cbei_0335, Cbei_0336, Cbei_0337
410062	411850	+	2	pgi, Cbei_0342
420801	425079	+	2	Cbei_0351, ligA
439289	440622	+	3	Cbei_0362, Cbei_0363, Cbei_0364
452554	455285	+	2	Cbei_0369, Cbei_0370
458370	459923	+	2	Cbei_0373, Cbei_0374
460001	461284	-	2	Cbei_0375, Cbei_0376
461761	463791	+	2	Cbei_0377, Cbei_0378
465486	466961	+	2	Cbei_0380, Cbei_0381
468367	470191	+	2	Cbei_0383, Cbei_0384
478869	482328	+	2	Cbei_0392, Cbei_0393
490370	492740	+	2	Cbei_0402, Cbei_0403
494685	496216	+	2	Cbei_0406, Cbei_0407
502391	504937	+	3	Cbei_0414, Cbei_0415, Cbei_0416
504979	507659	+	3	Cbei_0417, Cbei_0418, Cbei_0419
518230	522122	+	3	Cbei_0429, Cbei_0430, Cbei_0431
527914	530101	+	2	Cbei_0435, Cbei_0436
534155	536090	+	2	Cbei_0440, Cbei_0441
544306	545949	+	2	Cbei_0447, Cbei_0448
565563	567195	-	3	Cbei_0467, Cbei_0468, Cbei_0469
581877	583896	-	3	Cbei_0481, Cbei_0482, Cbei_0483
591420	597392	+	5	radC, Cbei_0491, Cbei_0492, Cbei_0493, Cbei_0494
598430	600194	+	3	minC, Cbei_0497, Cbei_0498
611267	613808	+	2	Cbei_0505, Cbei_0506
615623	616632	+	3	rplU, Cbei_0509, rpmA
627218	628329	+	2	Cbei_0521, Cbei_0522
630782	636719	+	5	Cbei_0524, Cbei_0525, frcK, Cbei_0527, Cbei_0528
636881	639352	+	3	Cbei_0529, Cbei_0530, Cbei_0531
642607	644354	+	2	Cbei_0534, Cbei_0535
648740	652087	+	2	Cbei_0540, Cbei_0541
652146	653898	+	2	Cbei_0542, Cbei_0543
654305	658966	+	6	Cbei_0544, Cbei_0545, Cbei_0546, Cbei_0547, Cbei_0548, araD
665554	667533	+	2	Cbei_0555, Cbei_0556
675552	680036	+	3	Cbei_0566, Cbei_0567, Cbei_0568
680187	681097	+	2	Cbei_0569, Cbei_0570
690743	692096	+	2	Cbei_0579, Cbei_0580
701123	703328	+	2	Cbei_0589, Cbei_0590
706279	707624	+	2	Cbei_0593, Cbei_0594
719882	726154	+	5	Cbei_0604, Cbei_0605, Cbei_0606, Cbei_0607, Cbei_0608
730295	733240	+	2	Cbei_0612, Cbei_0613
733301	736930	+	4	Cbei_0614, Cbei_0615, Cbei_0616, Cbei_0617
739188	741981	+	2	Cbei_0620, Cbei_0621
744598	747265	+	4	Cbei_0624, Cbei_0625, Cbei_0626, Cbei_0627
748519	750590	+	2	Cbei_0629, Cbei_0630
750797	753713	+	2	Cbei_0631, Cbei_0632
761143	763588	+	3	Cbei_0636, Cbei_0637, Cbei_0638
766564	769157	+	2	Cbei_0642, Cbei_0643
774050	775511	+	2	Cbei_0647, Cbei_0648
791870	794154	+	2	Cbei_0661, Cbei_0662
800671	802955	+	2	Cbei_0667, Cbei_0668
826026	829182	+	3	Cbei_0686, Cbei_0687, Cbei_0688
838318	839145	+	2	Cbei_0696, Cbei_0697
840290	843134	+	2	Cbei_0699, Cbei_0700
845717	846402	-	2	Cbei_0703, Cbei_0704
851766	855791	+	3	Cbei_0708, Cbei_0709, Cbei_0710
856709	859459	+	3	Cbei_0711, Cbei_0712, Cbei_0713
882191	883875	+	2	Cbei_0733, Cbei_0734
907455	910455	+	2	Cbei_0751, Cbei_0752
910856	913228	+	2	Cbei_0753, Cbei_0754
918844	920553	+	2	Cbei_0759, Cbei_0760
921468	923342	+	2	Cbei_0762, Cbei_0763
932502	935127	-	2	Cbei_0767, Cbei_0768
936694	938399	+	2	Cbei_0770, Cbei_0771
949019	952574	+	4	Cbei_0782, Cbei_0783, Cbei_0784, Cbei_0785
959397	961341	-	3	Cbei_0789, Cbei_0790, Cbei_0791
961559	964623	+	3	Cbei_0792, Cbei_0793, Cbei_0794
966503	968285	+	3	Cbei_0797, Cbei_0798, Cbei_0799
969879	973767	+	3	Cbei_0801, coaE, Cbei_0803
976343	980966	+	2	Cbei_0805, Cbei_0806
981137	985065	+	2	Cbei_0807, Cbei_0808
990046	991593	+	3	Cbei_0812, Cbei_0813, Cbei_0814
994048	998263	+	2	Cbei_0818, Cbei_0819
1007143	1008832	+	2	hrcA, Cbei_0829
1019476	1020135	+	2	rpsU, Cbei_0839
1020424	1021836	+	2	Cbei_0840, Cbei_0841
1021897	1025248	+	3	Cbei_0842, Cbei_0843, Cbei_0844
1026465	1027850	+	2	recO, Cbei_0847
1034376	1037302	+	2	dnaG, Cbei_0853
1037533	1039028	+	2	Cbei_0854, Cbei_0855
1040265	1043830	+	2	Cbei_0857, Cbei_0858
1046200	1048284	+	2	Cbei_0861, Cbei_0862
1049799	1053655	+	2	Cbei_0864, Cbei_0865
1066488	1069366	+	2	Cbei_0874, Cbei_0875
1074331	1077351	+	4	Cbei_0880, Cbei_0881, Cbei_0882, Cbei_0883
1081108	1082095	+	3	Cbei_0888, Cbei_0889, Cbei_0890
1082415	1084020	+	2	Cbei_0892, Cbei_0893
1089442	1095061	+	7	Cbei_0903, Cbei_0904, Cbei_0905, Cbei_0906, Cbei_0907, Cbei_0908, Cbei_0909
1095161	1098286	+	6	Cbei_0910, Cbei_0911, Cbei_0912, Cbei_0913, Cbei_0914, Cbei_0915
1100203	1109058	+	11	Cbei_0918, Cbei_0919, Cbei_0920, Cbei_0921, Cbei_0922, Cbei_0923, Cbei_0924, Cbei_0925, Cbei_0926, Cbei_0927, Cbei_0928
1109236	1109883	+	2	Cbei_0929, Cbei_0930
1111658	1113759	+	3	Cbei_0933, Cbei_0934, Cbei_0935
1114063	1115172	+	2	Cbei_0936, Cbei_0937
1120219	1122318	-	2	Cbei_0942, Cbei_0943
1122593	1126934	+	2	Cbei_0944, Cbei_0945
1134917	1135577	+	2	Cbei_0951, Cbei_0952
1141528	1144040	+	4	Cbei_0955, Cbei_0956, Cbei_0957, Cbei_0958
1150413	1153997	+	5	Cbei_0963, Cbei_0964, Cbei_0965, Cbei_0966, Cbei_0967
1171205	1175900	+	2	Cbei_0980, Cbei_0981
1181367	1186565	+	4	Cbei_0986, Cbei_0987, Cbei_0988, Cbei_0989
1198499	1201113	+	3	pyrB, Cbei_1001, Cbei_1002
1201509	1204078	+	3	pyrF, Cbei_1004, Cbei_1005
1218621	1220758	+	2	Cbei_1016, Cbei_1017
1224308	1226019	+	2	Cbei_1020, Cbei_1021
1226281	1227773	+	2	Cbei_1022, Cbei_1023
1245010	1247403	+	3	Cbei_1038, Cbei_1039, Cbei_1040
1254015	1255397	+	2	Cbei_1045, Cbei_1046
1258251	1259594	+	2	Cbei_1050, Cbei_1051
1264677	1265863	+	2	Cbei_1054, Cbei_1055
1267604	1270726	+	3	Cbei_1057, Cbei_1058, purH
1273638	1276320	+	2	Cbei_1062, Cbei_1063
1280118	1281553	+	2	Cbei_1067, Cbei_1068
1281908	1283786	+	2	Cbei_1069, Cbei_1070
1283985	1285978	+	2	fabG, Cbei_1072
1286343	1290334	+	5	Cbei_1073, fabZ, Cbei_1075, Cbei_1076, Cbei_1077
1291610	1294288	+	3	Cbei_1079, Cbei_1080, Cbei_1081
1301741	1304672	+	2	Cbei_1088, Cbei_1089
1311212	1314375	+	4	Cbei_1097, Cbei_1098, Cbei_1099, mnmA
1315667	1317176	+	2	Cbei_1102, Cbei_1103
1328410	1330281	+	2	Cbei_1112, Cbei_1113
1334798	1337205	+	2	Cbei_1117, Cbei_1118
1337701	1339273	+	2	Cbei_1119, Cbei_1120
1341224	1344390	+	3	Cbei_1124, Cbei_1125, Cbei_1126
1344593	1348742	+	5	Cbei_1127, Cbei_1128, Cbei_1129, Cbei_1130, Cbei_1131
1351381	1353692	+	2	engA, gpsA
1358228	1361419	+	5	Cbei_1139, Cbei_1140, gmk, rpoZ, Cbei_1143
1361600	1370984	+	8	Cbei_1144, def, fmt, Cbei_1147, Cbei_1148, Cbei_1149, Cbei_1150, Cbei_1151
1371352	1373502	+	3	Cbei_1152, Cbei_1153, Cbei_1154
1375261	1377265	+	2	Cbei_1156, Cbei_1157
1379664	1380704	+	2	Cbei_1159, Cbei_1160
1387051	1387743	+	2	Cbei_1166, rpmF
1389577	1391299	+	2	rnc, Cbei_1171
1396614	1398308	+	2	Cbei_1174, Cbei_1175
1399284	1400490	+	2	rimM, trmD
1401175	1402837	+	2	rbgA, rnhB
1403561	1406159	+	2	Cbei_1184, Cbei_1185
1413573	1415141	+	2	Cbei_1192, Cbei_1193
1416374	1418565	+	2	Cbei_1195, Cbei_1196
1420445	1426161	+	7	Cbei_1198, nusA, Cbei_1200, Cbei_1201, infB, rbfA, Cbei_1204
1432144	1433638	+	2	Cbei_1210, Cbei_1211
1437313	1439284	+	2	Cbei_1214, Cbei_1215
1448876	1450638	+	2	Cbei_1224, Cbei_1225
1456561	1458280	+	2	Cbei_1230, Cbei_1231
1462166	1465540	-	2	Cbei_1234, Cbei_1235
1471229	1473494	+	2	Cbei_1239, Cbei_1240
1480502	1482085	+	2	Cbei_1245, Cbei_1246
1497158	1499425	+	4	Cbei_1263, Cbei_1264, Cbei_1265, Cbei_1266
1502444	1503864	+	2	Cbei_1270, Cbei_1271
1503972	1506003	+	2	Cbei_1272, Cbei_1273
1517021	1518864	+	2	hemA, Cbei_1284
1518908	1521259	+	2	hemC, Cbei_1286
1528035	1530837	+	3	Cbei_1293, Cbei_1294, Cbei_1295
1537433	1539230	+	2	Cbei_1302, Cbei_1303
1549152	1551457	+	2	Cbei_1312, Cbei_1313
1552544	1554321	+	2	Cbei_1315, Cbei_1316
1554454	1556779	+	2	Cbei_1317, Cbei_1318
1557660	1559822	+	3	hisH, Cbei_1321, Cbei_1322
1559880	1560567	+	2	hisI, Cbei_1324
1568042	1570958	+	2	Cbei_1330, engB
1571180	1571951	+	2	Cbei_1332, Cbei_1333
1583739	1584795	+	2	Cbei_1344, Cbei_1345
1597845	1598715	+	2	Cbei_1355, Cbei_1356
1599758	1602261	+	4	Cbei_1358, Cbei_1359, Cbei_1360, Cbei_1361
1603061	1603501	+	2	Cbei_1363, Cbei_1364
1603572	1606107	+	3	Cbei_1365, Cbei_1366, Cbei_1367
1614530	1615922	+	2	Cbei_1371, Cbei_1372
1616737	1618506	+	3	Cbei_1374, Cbei_1375, Cbei_1376
1618708	1619557	+	2	Cbei_1377, Cbei_1378
1631901	1634501	+	2	Cbei_1387, Cbei_1388
1639943	1642154	+	2	Cbei_1393, Cbei_1394
1642432	1644218	+	2	Cbei_1395, Cbei_1396
1647491	1650569	+	2	Cbei_1401, Cbei_1402
1652552	1653212	+	2	Cbei_1405, Cbei_1406
1654163	1655278	+	2	Cbei_1407, Cbei_1408
1660446	1661956	-	2	Cbei_1414, Cbei_1415
1666790	1668879	+	2	Cbei_1420, Cbei_1421
1694866	1696658	+	2	Cbei_1441, Cbei_1442
1696780	1700851	+	2	Cbei_1443, Cbei_1444
1704406	1707223	+	2	Cbei_1448, Cbei_1449
1707350	1708402	+	2	Cbei_1450, Cbei_1451
1727494	1729778	+	2	Cbei_1465, Cbei_1466
1744554	1747248	-	4	Cbei_1480, Cbei_1481, Cbei_1482, Cbei_1483
1756557	1761852	+	2	Cbei_1489, Cbei_1490
1765729	1767448	+	2	Cbei_1494, Cbei_1495
1769779	1770916	+	3	Cbei_1497, Cbei_1498, Cbei_1499
1771147	1773380	+	3	Cbei_1500, Cbei_1501, Cbei_1502
1790009	1792364	+	2	Cbei_1516, Cbei_1517
1792970	1794911	+	2	thiG, thiH
1802425	1804045	+	2	Cbei_1527, Cbei_1528
1810358	1812491	+	2	secD, secF
1814444	1817750	+	3	Cbei_1540, Cbei_1541, Cbei_1542
1819283	1822367	+	2	hisS, aspS
1836113	1837425	+	2	Cbei_1560, Cbei_1561
1844970	1846133	+	3	Cbei_1569, rpmI, rplT
1851547	1853468	+	3	Cbei_1575, mraW, Cbei_1577
1861648	1863794	+	2	mraY, Cbei_1583
1863985	1866634	+	4	Cbei_1584, Cbei_1585, Cbei_1586, Cbei_1587
1866727	1869536	+	5	Cbei_1588, Cbei_1589, Cbei_1590, Cbei_1591, Cbei_1592
1869981	1871522	-	2	Cbei_1593, Cbei_1594
1871817	1874472	+	3	Cbei_1595, Cbei_1596, Cbei_1597
1877917	1879778	+	2	dapF, Cbei_1601
1903072	1905385	+	2	Cbei_1618, Cbei_1619
1905439	1909130	+	5	Cbei_1620, Cbei_1621, Cbei_1622, Cbei_1623, Cbei_1624
1909288	1910592	+	3	Cbei_1625, Cbei_1626, Cbei_1627
1915557	1920643	+	5	Cbei_1634, Cbei_1635, Cbei_1636, Cbei_1637, Cbei_1638
1920769	1923982	+	4	Cbei_1639, Cbei_1640, Cbei_1641, Cbei_1642
1924201	1927819	+	6	Cbei_1643, Cbei_1644, Cbei_1645, Cbei_1646, Cbei_1647, Cbei_1648
1933556	1941287	+	10	Cbei_1652, Cbei_1653, Cbei_1654, Cbei_1655, Cbei_1656, Cbei_1657, Cbei_1658, Cbei_1659, Cbei_1660, Cbei_1661
1943912	1944604	+	2	Cbei_1664, Cbei_1665
1958399	1961246	+	5	Cbei_1682, Cbei_1683, Cbei_1684, Cbei_1685, Cbei_1686
1961311	1962698	+	3	Cbei_1687, Cbei_1688, Cbei_1689
1964190	1965616	+	2	Cbei_1692, Cbei_1693
1965681	1969366	+	6	Cbei_1694, Cbei_1695, Cbei_1696, Cbei_1697, Cbei_1698, Cbei_1699
1970509	1979363	+	9	Cbei_1702, xseA, Cbei_1704, Cbei_1705, Cbei_1706, Cbei_1707, Cbei_1708, argR, Cbei_1710
1986791	1988878	+	3	Cbei_1717, Cbei_1718, Cbei_1719
1994297	1997516	+	2	Cbei_1724, Cbei_1725
1997892	2000530	+	2	Cbei_1726, Cbei_1727
2003459	2005653	+	2	Cbei_1731, Cbei_1732
2007939	2009847	-	2	Cbei_1735, Cbei_1736
2017423	2018328	-	2	Cbei_1744, Cbei_1745
2022262	2024237	+	2	Cbei_1749, Cbei_1750
2024317	2026164	+	2	trpD, Cbei_1752
2026207	2028869	+	3	Cbei_1753, Cbei_1754, Cbei_1755
2041208	2045828	+	5	Cbei_1762, Cbei_1763, Cbei_1764, Cbei_1765, Cbei_1766
2056236	2057850	+	2	Cbei_1774, Cbei_1775
2058025	2060109	+	2	Cbei_1776, Cbei_1777
2078371	2081036	-	3	Cbei_1795, Cbei_1796, Cbei_1797
2081799	2083444	+	2	Cbei_1799, hslO
2085452	2087223	+	2	Cbei_1803, Cbei_1804
2088284	2091757	+	3	Cbei_1806, Cbei_1807, Cbei_1808
2101491	2103154	+	2	Cbei_1817, Cbei_1818
2113025	2114836	+	2	Cbei_1826, Cbei_1827
2125775	2127374	+	2	Cbei_1836, Cbei_1837
2132967	2134614	+	2	Cbei_1842, Cbei_1843
2139203	2144140	+	5	Cbei_1848, Cbei_1849, Cbei_1850, Cbei_1851, Cbei_1852
2172071	2173421	+	2	scpA, scpB
2173588	2174624	-	2	Cbei_1877, Cbei_1878
2175821	2178084	+	2	Cbei_1880, Cbei_1881
2180550	2183519	+	4	Cbei_1884, Cbei_1885, Cbei_1886, Cbei_1887
2187680	2189685	+	2	Cbei_1892, Cbei_1893
2190278	2191635	-	2	Cbei_1895, Cbei_1896
2211859	2214149	+	2	murQ, Cbei_1918
2214292	2216249	+	2	Cbei_1919, Cbei_1920
2216753	2218697	-	2	Cbei_1921, Cbei_1922
2235811	2238301	+	2	Cbei_1936, Cbei_1937
2238374	2240766	+	3	Cbei_1938, Cbei_1939, Cbei_1940
2243681	2246487	+	2	Cbei_1943, Cbei_1944
2280188	2281914	-	2	Cbei_1965, Cbei_1966
2282473	2285013	+	2	Cbei_1967, Cbei_1968
2295746	2298091	+	2	Cbei_1975, Cbei_1976
2307752	2311145	+	3	Cbei_1984, Cbei_1985, Cbei_1986
2314946	2315856	+	2	moaC, Cbei_1991
2321755	2323330	+	2	Cbei_1997, Cbei_1998
2325086	2328789	+	4	Cbei_2000, Cbei_2001, Cbei_2002, Cbei_2003
2329971	2334012	+	2	Cbei_2004, Cbei_2005
2337270	2338197	+	2	Cbei_2009, Cbei_2010
2338415	2340133	+	2	Cbei_2011, Cbei_2012
2340972	2344759	+	3	Cbei_2013, Cbei_2014, Cbei_2015
2355662	2358935	+	2	Cbei_2027, Cbei_2028
2364854	2367816	+	3	Cbei_2035, Cbei_2036, Cbei_2037
2382993	2384673	+	2	Cbei_2047, Cbei_2048
2384782	2388098	+	2	Cbei_2049, Cbei_2050
2388709	2389361	+	2	Cbei_2051, Cbei_2052
2389530	2391408	-	2	Cbei_2053, Cbei_2054
2391661	2394698	+	2	Cbei_2055, Cbei_2056
2405203	2408494	+	2	Cbei_2065, Cbei_2066
2411617	2412777	-	3	Cbei_2069, Cbei_2070, Cbei_2071
2419768	2421788	+	2	Cbei_2077, Cbei_2078
2434280	2437480	+	4	Cbei_2088, Cbei_2089, Cbei_2090, Cbei_2091
2438193	2442350	+	3	Cbei_2092, Cbei_2093, Cbei_2094
2442825	2446928	+	4	Cbei_2095, Cbei_2096, Cbei_2097, Cbei_2098
2449273	2453457	+	5	Cbei_2100, Cbei_2101, Cbei_2102, Cbei_2103, Cbei_2104
2457545	2460810	+	3	Cbei_2110, Cbei_2111, Cbei_2112
2468425	2471290	+	2	Cbei_2117, Cbei_2118
2475110	2477161	+	2	Cbei_2123, Cbei_2124
2479958	2483150	+	3	Cbei_2127, gatA, gatB
2488814	2490918	-	2	Cbei_2134, Cbei_2135
2494282	2499231	+	5	Cbei_2138, Cbei_2139, Cbei_2140, Cbei_2141, Cbei_2142
2500562	2504035	+	2	Cbei_2144, Cbei_2145
2532694	2536934	+	2	Cbei_2171, Cbei_2172
2541584	2542068	+	2	Cbei_2177, Cbei_2178
2547673	2549951	+	2	Cbei_2182, Cbei_2183
2561786	2567043	+	6	Cbei_2192, Cbei_2193, Cbei_2194, Cbei_2195, Cbei_2196, Cbei_2197
2568048	2570227	+	3	Cbei_2199, Cbei_2200, Cbei_2201
2570510	2572730	+	3	Cbei_2202, Cbei_2203, Cbei_2204
2594138	2596223	+	2	Cbei_2229, Cbei_2230
2632926	2633562	+	2	Cbei_2270, Cbei_2271
2642515	2644787	+	2	Cbei_2281, Cbei_2282
2681276	2683166	+	2	Cbei_2316, Cbei_2317
2685611	2688700	+	2	Cbei_2320, Cbei_2321
2689368	2690321	+	2	Cbei_2322, Cbei_2323
2692741	2694809	+	2	Cbei_2328, Cbei_2329
2698202	2699462	+	2	Cbei_2333, Cbei_2334
2713694	2715331	+	2	Cbei_2351, Cbei_2352
2722917	2724699	+	2	Cbei_2358, Cbei_2359
2730663	2732631	+	2	Cbei_2364, Cbei_2365
2735116	2736443	+	2	Cbei_2368, Cbei_2369
2741891	2744582	+	2	Cbei_2378, Cbei_2379
2746020	2748768	+	2	Cbei_2381, Cbei_2382
2767396	2769295	+	2	Cbei_2396, Cbei_2397
2770286	2772478	-	2	Cbei_2399, Cbei_2400
2773176	2775094	+	2	Cbei_2401, recX
2785312	2786386	+	2	Cbei_2410, Cbei_2411
2804000	2808734	+	2	Cbei_2424, Cbei_2425
2809129	2811055	+	2	Cbei_2426, Cbei_2427
2822347	2823563	+	2	Cbei_2436, Cbei_2437
2828699	2830640	-	2	Cbei_2443, Cbei_2444
2835283	2840291	+	6	Cbei_2449, Cbei_2450, Cbei_2451, Cbei_2452, Cbei_2453, Cbei_2454
2840458	2841370	-	2	Cbei_2455, Cbei_2456
2863543	2865247	-	2	Cbei_2473, Cbei_2474
2866380	2870777	+	2	Cbei_2476, Cbei_2477
2877413	2880733	+	3	Cbei_2483, Cbei_2484, Cbei_2485
2884085	2885343	+	2	Cbei_2488, Cbei_2489
2912518	2915498	+	4	Cbei_2510, Cbei_2511, Cbei_2512, Cbei_2513
2915943	2919884	+	2	Cbei_2514, Cbei_2515
2940092	2941859	+	2	Cbei_2532, Cbei_2533
2946991	2948100	+	2	Cbei_2538, Cbei_2539
2948855	2950049	+	2	Cbei_2541, Cbei_2542
2951445	2954019	+	2	cmk, Cbei_2545
2985408	2986815	-	2	Cbei_2573, Cbei_2574
2991141	2993090	-	2	Cbei_2578, Cbei_2579
3016922	3020231	-	4	Cbei_2592, Cbei_2593, Cbei_2594, Cbei_2595
3020554	3022067	+	2	Cbei_2596, Cbei_2597
3026693	3028185	-	2	Cbei_2601, Cbei_2602
3036229	3038045	-	2	panB, Cbei_2611
3053588	3054656	-	2	Cbei_2632, Cbei_2633
3054950	3058167	-	2	Cbei_2634, Cbei_2635
3058232	3062346	-	5	Cbei_2636, Cbei_2637, Cbei_2638, Cbei_2639, Cbei_2640
3064156	3068360	-	3	Cbei_2642, Cbei_2643, Cbei_2644
3071264	3073244	+	2	Cbei_2646, Cbei_2647
3075915	3078856	+	2	Cbei_2651, Cbei_2652
3079027	3080408	-	2	Cbei_2653, Cbei_2654
3089033	3091568	-	2	Cbei_2661, Cbei_2662
3091678	3093312	-	2	Cbei_2663, Cbei_2664
3093393	3094980	-	2	Cbei_2665, Cbei_2666
3097088	3098793	-	2	Cbei_2668, Cbei_2669
3118500	3119803	-	2	Cbei_2683, Cbei_2684
3125466	3127087	-	2	Cbei_2690, Cbei_2691
3127788	3128732	-	2	Cbei_2693, Cbei_2694
3129213	3130086	-	2	Cbei_2696, Cbei_2697
3131113	3132733	-	2	Cbei_2699, Cbei_2700
3134926	3139345	-	2	Cbei_2702, Cbei_2703
3140095	3142977	-	3	Cbei_2704, Cbei_2705, Cbei_2706
3143104	3148047	-	5	Cbei_2707, Cbei_2708, Cbei_2709, Cbei_2710, Cbei_2711
3161977	3166757	-	4	Cbei_2725, Cbei_2726, Cbei_2727, Cbei_2728
3167312	3169316	-	2	Cbei_2729, Cbei_2730
3183554	3185208	-	2	ulaA, Cbei_2740
3185254	3186442	-	2	Cbei_2741, Cbei_2742
3187588	3189622	-	2	Cbei_2744, Cbei_2745
3191010	3198892	-	4	Cbei_2747, Cbei_2748, Cbei_2749, Cbei_2750
3205120	3208679	-	4	Cbei_2754, Cbei_2755, Cbei_2756, Cbei_2757
3208741	3211486	-	3	Cbei_2758, Cbei_2759, Cbei_2760
3211552	3213484	-	2	Cbei_2761, Cbei_2762
3213738	3214830	-	2	Cbei_2763, Cbei_2764
3214918	3218336	-	4	Cbei_2765, Cbei_2766, Cbei_2767, Cbei_2768
3220290	3222393	+	2	Cbei_2770, Cbei_2771
3228735	3230258	+	2	Cbei_2777, Cbei_2778
3235380	3236177	-	2	Cbei_2782, Cbei_2783
3246667	3250171	+	2	Cbei_2793, Cbei_2794
3255175	3261571	-	4	Cbei_2799, Cbei_2800, Cbei_2801, Cbei_2802
3265196	3268246	-	2	Cbei_2805, Cbei_2806
3282516	3283917	-	2	Cbei_2820, Cbei_2821
3306534	3309024	+	2	Cbei_2838, Cbei_2839
3311153	3313535	-	3	Cbei_2842, Cbei_2843, Cbei_2844
3313944	3316018	+	2	Cbei_2845, Cbei_2846
3334083	3338391	-	2	Cbei_2863, Cbei_2864
3344614	3347317	-	2	Cbei_2870, Cbei_2871
3352623	3356845	-	2	Cbei_2875, Cbei_2876
3369998	3371741	-	2	Cbei_2886, Cbei_2887
3377681	3379434	-	2	Cbei_2892, Cbei_2893
3383308	3386594	-	2	Cbei_2897, Cbei_2898
3389129	3392843	-	4	Cbei_2901, Cbei_2902, Cbei_2903, Cbei_2904
3392961	3395521	-	4	Cbei_2905, Cbei_2906, Cbei_2907, Cbei_2908
3415087	3419454	-	2	Cbei_2917, Cbei_2918
3422940	3426383	-	4	Cbei_2921, Cbei_2922, Cbei_2923, Cbei_2924
3430360	3434620	-	2	Cbei_2928, Cbei_2929
3444460	3444960	+	2	Cbei_2938, Cbei_2939
3446457	3447565	+	2	Cbei_2942, Cbei_2943
3457132	3459260	-	2	Cbei_2950, Cbei_2951
3465334	3466623	-	2	Cbei_2959, Cbei_2960
3468971	3470512	-	2	Cbei_2964, Cbei_2965
3470639	3472596	-	2	Cbei_2966, Cbei_2967
3476778	3478347	+	2	Cbei_2972, Cbei_2973
3480954	3482258	+	2	Cbei_2976, Cbei_2977
3484687	3485229	-	2	Cbei_2981, Cbei_2982
3486194	3488247	-	2	Cbei_2984, Cbei_2985
3488619	3494226	-	5	Cbei_2986, Cbei_2987, Cbei_2988, Cbei_2989, Cbei_2990
