Start	Stop	Strand	Number of Genes	Genes
298116	301655	-	3	RVBD_0247c, RVBD_0248c, RVBD_0249c
302866	305809	+	2	RVBD_0252, RVBD_0253
305825	309547	-	3	RVBD_0254c, RVBD_0255c, RVBD_0256c
310294	312659	-	3	RVBD_0258c, RVBD_0259c, RVBD_0260c
314309	316415	-	3	RVBD_0262c, RVBD_0263c, RVBD_0264c
316511	321154	-	2	RVBD_0265c, RVBD_0266c
328575	330325	-	2	RVBD_0272c, RVBD_0273c
332708	333333	-	2	RVBD_0277c, RVBD_0277Ac
339107	341906	+	3	RVBD_0279A, RVBD_0280, RVBD_0281
342130	351476	+	5	RVBD_0282, RVBD_0283, RVBD_0284, RVBD_0285, RVBD_0286
351525	353036	+	3	RVBD_0287, RVBD_0288, RVBD_0289
353083	356875	+	3	RVBD_0290, RVBD_0291, RVBD_0292
358945	361155	-	2	RVBD_0295c, RVBD_0296c
363252	363778	+	2	RVBD_0298, RVBD_0299
363826	364469	+	2	RVBD_0300, RVBD_0301
364605	366142	+	2	RVBD_0302, RVBD_0303
387888	389154	+	2	RVBD_0320, RVBD_0321
391352	392728	+	3	RVBD_0324, RVBD_0325, RVBD_0326
394694	396087	-	2	RVBD_0329c, RVBD_0330c
397442	399524	+	3	RVBD_0332, RVBD_0333, RVBD_0334
401873	405841	-	2	RVBD_0337c, RVBD_0338c
409362	414238	+	3	RVBD_0341, RVBD_0342, RVBD_0343
417304	419608	+	3	RVBD_0347, RVBD_0348, RVBD_0349
419835	424019	+	4	RVBD_0350, RVBD_0351, RVBD_0352, RVBD_0353
434831	436770	-	2	RVBD_0356c, RVBD_0357c
436861	438298	+	2	RVBD_0358, RVBD_0359
443068	445234	-	3	RVBD_0365c, RVBD_0366c, RVBD_0367c
445315	447047	-	2	RVBD_0368c, RVBD_0369c
447148	454373	-	7	RVBD_0370c, RVBD_0371c, RVBD_0372c, RVBD_0373c, RVBD_0374c, RVBD_0375c, RVBD_0376c
456916	458381	-	2	RVBD_0381c, RVBD_0382c
468338	471233	+	3	RVBD_0389, RVBD_0390, RVBD_0391
474943	475745	+	2	RVBD_0395, RVBD_0396
476682	479756	-	3	RVBD_0398c, RVBD_0399c, RVBD_0400c
480358	483659	-	2	RVBD_0402c, RVBD_0403c
483980	489942	+	2	RVBD_0404, RVBD_0405
490786	495011	+	3	RVBD_0407, RVBD_0408, RVBD_0409
495065	499622	-	3	RVBD_0410c, RVBD_0411c, RVBD_0412c
501151	503127	+	3	RVBD_0415, RVBD_0416, RVBD_0417
507135	510228	-	3	RVBD_0421c, RVBD_0422c, RVBD_0423c
516020	518399	-	3	RVBD_0427c, RVBD_0428c, RVBD_0429c
518736	521457	+	4	RVBD_0430, RVBD_0431, RVBD_0432, RVBD_0433
522350	526085	-	3	RVBD_0435c, RVBD_0436c, RVBD_0437c
526146	528317	-	2	RVBD_0438c, RVBD_0439c
530299	532217	-	2	RVBD_0441c, RVBD_0442c
534448	537172	-	3	RVBD_0446c, RVBD_0447c, RVBD_0448c
537232	541913	-	3	RVBD_0449c, RVBD_0450c, RVBD_0451c
545191	545824	-	2	RVBD_0454Ac, RVBD_0455c
547079	547520	-	2	RVBD_0456A, RVBD_0456Bc
549678	551692	+	2	RVBD_0458, RVBD_0459
551752	552553	+	2	RVBD_0460, RVBD_0461
552617	554312	+	2	RVBD_0462, RVBD_0463
554316	556309	-	2	RVBD_0464c, RVBD_0465c
561857	563430	-	3	RVBD_0470A, RVBD_0471c, RVBD_0472c
566511	567899	+	3	RVBD_0476, RVBD_0477, RVBD_0478
567924	569809	-	2	RVBD_0479c, RVBD_0480c
575351	577341	+	2	RVBD_0486, RVBD_0487
581492	584693	-	3	RVBD_0492c, RVBD_0492A, RVBD_0493c
586349	590973	+	5	RVBD_0496, RVBD_0497, RVBD_0498, RVBD_0499, RVBD_0500
591657	593870	+	2	RVBD_0501, RVBD_0502
593874	595305	-	2	RVBD_0503c, RVBD_0504c
596762	600394	+	3	RVBD_0506, RVBD_0507, RVBD_0508
600444	604519	+	3	RVBD_0509, RVBD_0510, RVBD_0511
604605	606451	+	3	RVBD_0512, RVBD_0513, RVBD_0514
612258	612906	+	2	RVBD_0520, RVBD_0521
614838	620868	+	6	RVBD_0524, RVBD_0525, RVBD_0526, RVBD_0527, RVBD_0528, RVBD_0529
626460	628291	+	2	RVBD_0535, RVBD_0536
630043	633037	+	3	RVBD_0538, RVBD_0539, RVBD_0540
633058	635507	-	2	RVBD_0541c, RVBD_0542c
635938	637466	-	2	RVBD_0544c, RVBD_0545c
640231	640907	-	2	RVBD_0549c, RVBD_0550c
642892	646258	+	3	RVBD_0552, RVBD_0553, RVBD_0554
646301	648477	+	2	RVBD_0555, RVBD_0556
648539	650396	+	2	RVBD_0557, RVBD_0558
650410	652758	-	3	RVBD_0559c, RVBD_0560c, RVBD_0561c
661006	663376	+	2	RVBD_0569, RVBD_0570
664926	665386	-	2	RVBD_0571Ac, RVBD_0572c
665854	668397	-	2	RVBD_0573c, RVBD_0574c
669851	671954	+	2	RVBD_0576, RVBD_0577
677713	678332	+	2	RVBD_0581, RVBD_0582
684413	694790	+	10	RVBD_0586, RVBD_0587, RVBD_0588, RVBD_0589, RVBD_0590, RVBD_0590A, RVBD_0591, RVBD_0592, RVBD_0593, RVBD_0594
694842	695488	-	2	RVBD_0595c, RVBD_0596c
697157	697803	-	2	RVBD_0598c, RVBD_0599c
701409	702762	+	2	RVBD_0605, RVBD_0606
703247	704060	+	3	RVBD_0608, RVBD_0609, RVBD_0609A
709359	710590	+	2	RVBD_0614, RVBD_0615
710785	711410	+	2	RVBD_0616A, RVBD_0617
711539	713810	+	3	RVBD_0618, RVBD_0619, RVBD_0620
716413	717062	+	2	RVBD_0623, RVBD_0624
718028	718692	+	2	RVBD_0626, RVBD_0627
720008	728309	-	3	RVBD_0629c, RVBD_0630c, RVBD_0631c
731933	733328	+	3	RVBD_0635, RVBD_0636, RVBD_0637
733740	734973	+	2	RVBD_0638, RVBD_0639
740237	742620	-	2	RVBD_0646c, RVBD_0647c
742722	747948	+	3	RVBD_0648, RVBD_0649, RVBD_0650
748279	749244	+	2	RVBD_0651, RVBD_0652
750003	752599	+	2	RVBD_0654, RVBD_0655
754688	755228	-	2	RVBD_0659c, RVBD_0660c
755338	756140	-	2	RVBD_0661c, RVBD_0662c
756140	759527	+	5	RVBD_0663, RVBD_0664, RVBD_0665, RVBD_0666, RVBD_0666A
769795	771427	+	2	RVBD_0670, RVBD_0671
771487	775577	+	4	RVBD_0672, RVBD_0673, RVBD_0674, RVBD_0675
775589	778908	-	2	RVBD_0676c, RVBD_0677c
779546	780419	-	2	RVBD_0679c, RVBD_0680c
781563	782407	+	2	RVBD_0682, RVBD_0683
787102	789163	+	2	RVBD_0687, RVBD_0688
790027	791669	-	2	RVBD_0690c, RVBD_0691c
791760	794528	+	4	RVBD_0691A, RVBD_0692, RVBD_0693, RVBD_0694
795522	798375	+	2	RVBD_0696, RVBD_0697
800490	802438	+	4	RVBD_0700, RVBD_0701, RVBD_0702, RVBD_0703
803414	806169	+	6	RVBD_0705, RVBD_0706, RVBD_0707, RVBD_0708, RVBD_0709, RVBD_0710
811376	812815	+	4	RVBD_0714, RVBD_0715, RVBD_0716, RVBD_0717
812979	817537	+	7	RVBD_0718, RVBD_0719, RVBD_0720, RVBD_0721, RVBD_0722, RVBD_0723, RVBD_0724
819846	821479	-	2	RVBD_0727c, RVBD_0728c
821510	823597	+	2	RVBD_0729, RVBD_0730
824803	827473	+	3	RVBD_0732, RVBD_0733, RVBD_0734
833889	834949	-	2	RVBD_0743c, RVBD_0744c
835157	838055	+	2	RVBD_0745, RVBD_0746
840950	841659	+	2	RVBD_0748, RVBD_0749
842350	845956	-	3	RVBD_0751c, RVBD_0752c, RVBD_0753c
854270	855829	-	2	RVBD_0760c, RVBD_0761c
855928	860713	-	6	RVBD_0762c, RVBD_0763c, RVBD_0764c, RVBD_0765c, RVBD_0766c, RVBD_0767c
860915	863161	+	2	RVBD_0768, RVBD_0769
863259	865857	+	3	RVBD_0770, RVBD_0771, RVBD_0772
870011	872678	+	2	RVBD_0777, RVBD_0778
873346	876393	+	3	RVBD_0780, RVBD_0781, RVBD_0782
878641	881043	+	2	RVBD_0784, RVBD_0785
882527	883437	+	2	RVBD_0787A, RVBD_0788
883454	886649	-	4	RVBD_0789c, RVBD_0790c, RVBD_0791c, RVBD_0792c
891475	893276	-	2	RVBD_0798c, RVBD_0799c
893321	894981	+	2	RVBD_0800, RVBD_0801
895823	898713	+	2	RVBD_0803, RVBD_0804
902114	904822	+	2	RVBD_0808, RVBD_0809
907341	908116	-	2	RVBD_0813c, RVBD_0813Ac
908184	909321	-	2	RVBD_0814c, RVBD_0815c
909614	910845	-	2	RVBD_0816c, RVBD_0817c
910975	912686	+	2	RVBD_0818, RVBD_0819
924954	927613	+	2	RVBD_0832, RVBD_0833
932282	934034	-	2	RVBD_0836c, RVBD_0837c
938115	940395	+	2	RVBD_0842, RVBD_0843
944941	947647	+	3	RVBD_0848, RVBD_0849, RVBD_0850
951186	952714	+	2	RVBD_0854, RVBD_0855
952828	953733	+	2	RVBD_0856, RVBD_0857
955080	958458	+	2	RVBD_0859, RVBD_0860
962602	964297	+	4	RVBD_0863, RVBD_0864, RVBD_0865, RVBD_0866
965986	967736	-	3	RVBD_0868c, RVBD_0869c, RVBD_0870c
973809	975940	-	2	RVBD_0875c, RVBD_0876c
978937	980512	+	3	RVBD_0880, RVBD_0881, RVBD_0882
982765	985533	+	2	RVBD_0885, RVBD_0886
989951	993458	-	2	RVBD_0890c, RVBD_0891c
1000811	1002707	-	2	RVBD_0897c, RVBD_0898c
1002815	1004487	+	3	RVBD_0899, RVBD_0900, RVBD_0901
1004504	1006565	-	2	RVBD_0902c, RVBD_0903c
1008210	1014128	+	4	RVBD_0905, RVBD_0906, RVBD_0907, RVBD_0908
1014685	1015304	+	2	RVBD_0909, RVBD_0910
1016824	1019969	-	3	RVBD_0912Ac, RVBD_0913c, RVBD_0914c
1020062	1021647	-	2	RVBD_0915c, RVBD_0916c
1022091	1024126	+	2	RVBD_0917, RVBD_0917A
1024215	1025188	+	2	RVBD_0918, RVBD_0919
1027108	1029341	+	2	RVBD_0921, RVBD_0922
1029517	1032637	-	3	RVBD_0923c, RVBD_0924c, RVBD_0925c
1034907	1037917	+	3	RVBD_0928, RVBD_0929, RVBD_0930
1037924	1041052	-	2	RVBD_0931c, RVBD_0932c
1041268	1043243	+	2	RVBD_0933, RVBD_0934
1043303	1045226	+	2	RVBD_0935, RVBD_0936
1046140	1050350	+	2	RVBD_0938, RVBD_0939
1053769	1055012	+	2	RVBD_0944, RVBD_0945
1061968	1064055	+	2	RVBD_0951, RVBD_0952
1065131	1067449	+	2	RVBD_0954, RVBD_0955
1067565	1069780	+	2	RVBD_0956, RVBD_0957
1069887	1073277	+	2	RVBD_0958, RVBD_0959
1073331	1073932	+	2	RVBD_0959A, RVBD_0960
1074444	1075255	-	2	RVBD_0962c, RVBD_0962Ac
1076782	1077839	-	2	RVBD_0965c, RVBD_0966c
1078747	1081688	+	2	RVBD_0969, RVBD_0970
1081779	1090179	-	6	RVBD_0971c, RVBD_0972c, RVBD_0973c, RVBD_0974c, RVBD_0975c, RVBD_0976c
1096820	1099026	+	2	RVBD_0981, RVBD_0982
1099070	1101009	+	2	RVBD_0983, RVBD_0984
1101807	1106280	+	3	RVBD_0986, RVBD_0987, RVBD_0988
1114297	1116529	+	3	RVBD_0997, RVBD_0998, RVBD_0999
1128095	1130109	+	2	RVBD_1009, RVBD_1010
1130195	1131425	+	2	RVBD_1011, RVBD_1012
1133337	1134572	-	2	RVBD_1014c, RVBD_1015c
1134789	1136485	-	2	RVBD_1016c, RVBD_1017c
1138971	1143652	+	2	RVBD_1020, RVBD_1021
1144568	1147982	+	4	RVBD_1023, RVBD_1024, RVBD_1025, RVBD_1026
1148431	1151690	-	2	RVBD_1027c, RVBD_1028c
1151924	1156426	+	4	RVBD_1028X, RVBD_1029, RVBD_1030, RVBD_1031
1156430	1158740	-	2	RVBD_1032c, RVBD_1033c
1158922	1160437	-	3	RVBD_1034c, RVBD_1035c, RVBD_1036c
1160548	1161155	-	2	RVBD_1037c, RVBD_1038c
1167057	1168558	+	2	RVBD_1044, RVBD_1045
1171043	1172318	-	2	RVBD_1048c, RVBD_1048Ac
1176933	1177378	+	2	RVBD_1054, RVBD_1055
1183513	1185745	+	3	RVBD_1060, RVBD_1061, RVBD_1062
1187440	1188398	+	2	RVBD_1065, RVBD_1066
1192515	1196097	-	3	RVBD_1069c, RVBD_1070c, RVBD_1071c
1203318	1205238	+	2	RVBD_1078, RVBD_1079
1206525	1209662	+	3	RVBD_1082, RVBD_1083, RVBD_1084
1214518	1215136	+	2	RVBD_1088, RVBD_1089
1215522	1216059	+	2	RVBD_1089A, RVBD_1090
1225268	1228689	-	3	RVBD_1097c, RVBD_1098c, RVBD_1099c
1230665	1231296	-	2	RVBD_1102c, RVBD_1103c
1232849	1236100	-	4	RVBD_1106c, RVBD_1107c, RVBD_1108c, RVBD_1109c
1239421	1239989	+	2	RVBD_1113, RVBD_1114
1241976	1243509	-	3	RVBD_1118c, RVBD_1119c, RVBD_1120c
1243712	1246156	+	2	RVBD_1121, RVBD_1122
1247132	1249331	+	2	RVBD_1124, RVBD_1125
1249335	1251409	-	2	RVBD_1126c, RVBD_1127c
1254560	1259060	+	3	RVBD_1130, RVBD_1131, RVBD_1132
1265092	1267444	-	4	RVBD_1137c, RVBD_1138c, RVBD_1139c, RVBD_1139Ac
1270067	1271913	+	2	RVBD_1143, RVBD_1144
1272428	1274772	+	2	RVBD_1145, RVBD_1146
1280003	1281489	-	2	RVBD_1153c, RVBD_1154c
1282311	1283041	+	2	RVBD_1156, RVBD_1156A
1283061	1284867	-	2	RVBD_1157c, RVBD_1158c
1287333	1292746	+	2	RVBD_1161, RVBD_1162
1292803	1296059	+	3	RVBD_1163, RVBD_1164, RVBD_1165
1298769	1300129	-	2	RVBD_1168c, RVBD_1169c
1300309	1301752	+	3	RVBD_1170, RVBD_1170A, RVBD_1171
1306207	1308797	-	2	RVBD_1175c, RVBD_1176c
1309010	1310457	+	2	RVBD_1177, RVBD_1178
1329396	1332016	+	2	RVBD_1187, RVBD_1188
1332098	1333864	+	2	RVBD_1189, RVBD_1190
1334933	1337221	+	2	RVBD_1192, RVBD_1193
1346327	1348630	-	2	RVBD_1203c, RVBD_1204c
1351197	1354142	+	4	RVBD_1207, RVBD_1208, RVBD_1209, RVBD_1210
1357765	1363367	-	5	RVBD_1215c, RVBD_1216c, RVBD_1217c, RVBD_1218c, RVBD_1219c
1365881	1367864	+	2	RVBD_1223, RVBD_1224
1368838	1370831	-	2	RVBD_1226c, RVBD_1227c
1371783	1374203	-	2	RVBD_1229c, RVBD_1230c
1374328	1376174	-	2	RVBD_1231c, RVBD_1232c
1376982	1381871	+	5	RVBD_1234, RVBD_1235, RVBD_1236, RVBD_1237, RVBD_1238
1384284	1384972	+	2	RVBD_1241, RVBD_1242
1388691	1389250	-	2	RVBD_1246c, RVBD_1247c
1399976	1402815	+	2	RVBD_1253, RVBD_1254
1402784	1404609	-	2	RVBD_1255c, RVBD_1256c
1404723	1407346	-	2	RVBD_1257c, RVBD_1258c
1407345	1409364	+	2	RVBD_1259, RVBD_1260
1409490	1410378	-	2	RVBD_1261c, RVBD_1262c
1420416	1424056	-	2	RVBD_1272c, RVBD_1273c
1424203	1425299	+	2	RVBD_1274, RVBD_1275
1426170	1431654	+	3	RVBD_1277, RVBD_1278, RVBD_1279
1431671	1437123	-	4	RVBD_1280c, RVBD_1281c, RVBD_1282c, RVBD_1283c
1437915	1440757	+	2	RVBD_1285, RVBD_1286
1446385	1452953	+	6	RVBD_1292, RVBD_1293, RVBD_1294, RVBD_1295, RVBD_1295A, RVBD_1296
1455501	1458217	+	3	RVBD_1299, RVBD_1300, RVBD_1301
1459772	1461002	+	2	RVBD_1303, RVBD_1304
1461051	1463189	+	3	RVBD_1305, RVBD_1306, RVBD_1307
1463234	1468137	+	5	RVBD_1308, RVBD_1309, RVBD_1310, RVBD_1311, RVBD_1312
1477140	1479124	-	2	RVBD_1316c, RVBD_1317c
1480900	1484223	-	2	RVBD_1319c, RVBD_1320c
1484285	1485284	+	2	RVBD_1321, RVBD_1322
1490123	1494431	-	2	RVBD_1326c, RVBD_1327c
1497201	1500565	-	2	RVBD_1329c, RVBD_1330c
1500667	1508193	+	11	RVBD_1331, RVBD_1332, RVBD_1333, RVBD_1334, RVBD_1335, RVBD_1336, RVBD_1337, RVBD_1338, RVBD_1339, RVBD_1340, RVBD_1341
1508190	1508929	-	2	RVBD_1342c, RVBD_1343c
1508974	1512012	+	3	RVBD_1344, RVBD_1345, RVBD_1346
1513053	1517368	+	2	RVBD_1348, RVBD_1349
1517497	1518566	+	2	RVBD_1350, RVBD_1351
1519206	1524826	-	4	RVBD_1353c, RVBD_1354c, RVBD_1355c, RVBD_1356c
1525299	1526382	-	2	RVBD_1357c, RVBD_1357Ac
1533954	1535398	-	2	RVBD_1362c, RVBD_1363c
1543365	1546998	+	3	RVBD_1371, RVBD_1372, RVBD_1373
1547838	1550647	+	2	RVBD_1375, RVBD_1376
1550585	1552661	-	2	RVBD_1377c, RVBD_1378c
1552660	1561275	+	7	RVBD_1379, RVBD_1380, RVBD_1381, RVBD_1382, RVBD_1383, RVBD_1384, RVBD_1385
1561470	1563394	+	2	RVBD_1386, RVBD_1387
1565099	1566703	+	2	RVBD_1390, RVBD_1391
1568115	1570975	-	2	RVBD_1393c, RVBD_1394c
1574118	1574773	-	2	RVBD_1397c, RVBD_1398c
1574856	1576802	-	2	RVBD_1399c, RVBD_1400c
1582172	1586219	+	4	RVBD_1406, RVBD_1407, RVBD_1408, RVBD_1409
1586216	1588488	-	2	RVBD_1410c, RVBD_1411c
1589392	1590298	+	2	RVBD_1413, RVBD_1414
1590403	1593331	+	4	RVBD_1415, RVBD_1416, RVBD_1417, RVBD_1418
1594048	1598889	+	4	RVBD_1420, RVBD_1421, RVBD_1422, RVBD_1423
1601065	1604765	-	3	RVBD_1426c, RVBD_1427c, RVBD_1428c
1608089	1611276	+	2	RVBD_1431, RVBD_1432
1611440	1612399	+	2	RVBD_1433, RVBD_1434
1613313	1616355	+	3	RVBD_1436, RVBD_1437, RVBD_1438
1623293	1625371	-	3	RVBD_1444c, RVBD_1445c, RVBD_1446c
1625424	1630205	-	3	RVBD_1447c, RVBD_1448c, RVBD_1449c
1642543	1644266	-	2	RVBD_1457c, RVBD_1458c
1646192	1653584	+	7	RVBD_1460, RVBD_1461, RVBD_1462, RVBD_1463, RVBD_1464, RVBD_1465, RVBD_1466
1658986	1662290	+	4	RVBD_1470, RVBD_1471, RVBD_1472, RVBD_1473
1662647	1666052	-	2	RVBD_1474c, RVBD_1475c
1666996	1669150	+	2	RVBD_1477, RVBD_1478
1669289	1672390	+	3	RVBD_1479, RVBD_1480, RVBD_1481
1673446	1676057	+	3	RVBD_1483, RVBD_1484, RVBD_1485
1676947	1679178	+	4	RVBD_1487, RVBD_1488, RVBD_1489, RVBD_1489A
1682163	1687894	+	5	RVBD_1492, RVBD_1493, RVBD_1494, RVBD_1495, RVBD_1496
1690856	1692717	+	2	RVBD_1500, RVBD_1501
1695287	1696449	-	2	RVBD_1505c, RVBD_1506c
1699872	1701099	+	2	RVBD_1508A, RVBD_1509
1701301	1703022	+	2	RVBD_1510, RVBD_1510A
1703080	1705795	+	3	RVBD_1511, RVBD_1512, RVBD_1513
1705813	1708545	-	3	RVBD_1514c, RVBD_1515c, RVBD_1516c
1708877	1710609	+	2	RVBD_1517, RVBD_1518
1710739	1712074	+	2	RVBD_1519, RVBD_1520
1717659	1719976	+	2	RVBD_1523, RVBD_1524
1720786	1728415	-	2	RVBD_1526c, RVBD_1527c
1731379	1733045	+	2	RVBD_1530, RVBD_1531
1733616	1735417	+	2	RVBD_1533, RVBD_1534
1742250	1743777	+	2	RVBD_1539, RVBD_1540
1745070	1747152	+	3	RVBD_1543, RVBD_1544, RVBD_1545
1753516	1757316	+	3	RVBD_1549, RVBD_1550, RVBD_1551
1757444	1760935	+	5	RVBD_1551A, RVBD_1552, RVBD_1553, RVBD_1554, RVBD_1555
1761750	1765389	+	5	RVBD_1557, RVBD_1558, RVBD_1559, RVBD_1560, RVBD_1561
1765406	1773835	-	4	RVBD_1562c, RVBD_1563c, RVBD_1564c, RVBD_1565c
1775398	1779054	+	4	RVBD_1568, RVBD_1569, RVBD_1570, RVBD_1571
1780650	1782591	-	2	RVBD_1576c, RVBD_1577c
1783316	1786535	-	7	RVBD_1579c, RVBD_1580c, RVBD_1581c, RVBD_1581Ac, RVBD_1582c, RVBD_1583c, RVBD_1584c
1786591	1789843	-	4	RVBD_1585c, RVBD_1586c, RVBD_1587c, RVBD_1588c
1790291	1792242	+	3	RVBD_1589, RVBD_1590, RVBD_1591
1794763	1798252	+	3	RVBD_1594, RVBD_1595, RVBD_1596
1799590	1806007	+	8	RVBD_1599, RVBD_1600, RVBD_1601, RVBD_1602, RVBD_1603, RVBD_1604, RVBD_1605, RVBD_1606
1807910	1810157	+	2	RVBD_1609, RVBD_1610
1811134	1814584	+	3	RVBD_1612, RVBD_1613, RVBD_1614
1815260	1816088	+	2	RVBD_1615, RVBD_1616
1816196	1818524	+	2	RVBD_1617, RVBD_1618
1819970	1823280	-	2	RVBD_1620c, RVBD_1621c
1823367	1825894	-	2	RVBD_1622c, RVBD_1623c
1826005	1827952	-	2	RVBD_1624c, RVBD_1625c
1828872	1830568	-	2	RVBD_1627c, RVBD_1628c
1833549	1836243	+	2	RVBD_1630, RVBD_1631
1837082	1840590	+	2	RVBD_1633, RVBD_1634
1842175	1842898	+	2	RVBD_1635A, RVBD_1636
1846723	1848465	-	2	RVBD_1638A, RVBD_1639c
1853191	1854395	+	2	RVBD_1643, RVBD_1644
1856781	1858544	+	2	RVBD_1647, RVBD_1648
1858740	1862260	+	2	RVBD_1649, RVBD_1650
1865583	1872566	+	7	RVBD_1652, RVBD_1653, RVBD_1654, RVBD_1655, RVBD_1656, RVBD_1657, RVBD_1658
1875311	1891086	+	4	RVBD_1661, RVBD_1662, RVBD_1663, RVBD_1664
1892277	1895349	-	3	RVBD_1666c, RVBD_1667c, RVBD_1668c
1895732	1896874	+	3	RVBD_1669, RVBD_1670, RVBD_1671
1898307	1899923	-	2	RVBD_1673c, RVBD_1674c
1901054	1902303	+	2	RVBD_1676, RVBD_1677
1902404	1906249	+	4	RVBD_1678, RVBD_1679, RVBD_1680, RVBD_1681
1907601	1910817	+	2	RVBD_1683, RVBD_1684
1910783	1912088	-	2	RVBD_1685c, RVBD_1686c
1912986	1914883	+	2	RVBD_1688, RVBD_1689
1915534	1921453	+	7	RVBD_1690, RVBD_1691, RVBD_1692, RVBD_1693, RVBD_1694, RVBD_1695, RVBD_1696
1921549	1923696	+	2	RVBD_1697, RVBD_1698
1923836	1927144	+	3	RVBD_1699, RVBD_1700, RVBD_1701
1929138	1931463	-	2	RVBD_1703c, RVBD_1704c
1931504	1933885	-	2	RVBD_1705c, RVBD_1706c
1934889	1941686	+	7	RVBD_1707, RVBD_1708, RVBD_1709, RVBD_1710, RVBD_1711, RVBD_1712, RVBD_1713
1941860	1944763	+	4	RVBD_1714, RVBD_1715, RVBD_1716, RVBD_1717
1944816	1946531	+	3	RVBD_1718, RVBD_1719, RVBD_1719A
1947037	1947650	-	2	RVBD_1720c, RVBD_1721c
1947868	1950596	+	2	RVBD_1722, RVBD_1723
1950639	1951758	-	2	RVBD_1724c, RVBD_1725c
1951859	1953846	+	2	RVBD_1726, RVBD_1727
1953871	1955576	-	2	RVBD_1728c, RVBD_1729c
1961298	1962136	-	2	RVBD_1735c, RVBD_1735Ac
1962235	1965377	-	2	RVBD_1736c, RVBD_1737c
1967712	1968917	+	3	RVBD_1740, RVBD_1741, RVBD_1742
1970996	1971998	-	2	RVBD_1744c, RVBD_1745c
1994678	1995849	-	2	RVBD_1761c, RVBD_1762c
2002633	2006454	+	3	RVBD_1769, RVBD_1770, RVBD_1771
2007839	2009997	+	2	RVBD_1774, RVBD_1775
2017747	2023439	+	2	RVBD_1782, RVBD_1784
2026484	2027978	+	2	RVBD_1788, RVBD_1789
2030354	2030650	+	2	RVBD_1792, RVBD_1792A
2032247	2038539	+	4	RVBD_1795, RVBD_1796, RVBD_1797, RVBD_1798
2048079	2049604	+	2	RVBD_1806, RVBD_1807
2064806	2068890	+	2	RVBD_1820, RVBD_1821
2069087	2072363	+	5	RVBD_1822, RVBD_1823, RVBD_1824, RVBD_1825, RVBD_1826
