Start	Stop	Strand	Number of Genes	Genes
389475	390679	+	2	STM14_0401, STM14_0402
391749	392625	+	2	STM14_0405, STM14_0406
393112	398955	-	3	STM14_0408, STM14_0409, STM14_0410
399120	402017	+	3	STM14_0411, STM14_0412, STM14_0413
402095	402422	+	2	STM14_0414, STM14_0415
404024	408964	+	2	mod, res
409459	412110	+	3	STM14_0422, STM14_0423, STM14_0424
418467	419557	+	2	STM14_0430, prpB
419680	422340	+	2	prpC, prpD
430925	433381	+	3	STM14_0442, sbmA, yaiW
440792	441353	+	2	STM14_0457, yaiI
441538	442301	+	2	aroL, yaiA
443622	444687	-	2	rdgC, STM14_0464
446934	451273	-	2	sbcC, sbcD
460253	461450	+	2	queA, STM14_0479
461514	465853	+	4	tgt, yajC, secD, secF
466001	467084	+	2	STM14_0484, STM14_0485
467254	467846	+	2	yajD, STM14_0487
469965	471640	+	3	STM14_0491, ybaD, ribD
471729	472639	+	2	ribH, nusB
472718	474188	+	2	thiL, pgpA
473976	475266	-	2	STM14_0498, yajO
475323	478351	-	3	dxs, ispA, xseB
480053	483844	-	4	phnV, phnU, phnT, phnS
484042	484902	-	2	phnR, STM14_0509
484901	486823	+	2	phnW, phnX
486920	488384	-	2	thiJ, apbA
490949	493965	+	2	STM14_0517, STM14_0518
494047	498840	-	5	cyoE, cyoD, cyoC, cyoB, cyoA
504670	506049	+	2	STM14_0531, clpX
517459	521005	+	2	mdlA, mdlB
521218	522874	+	2	glnK, amtB
527046	527452	+	2	rpmE2, rpmJ_1
528825	529445	-	2	hha, ybaJ
529941	534306	-	2	acrB, acrA
539629	540325	-	2	ybaM, priC
543575	544509	+	2	ybaB, recR
546735	548570	+	3	adk, STM14_0575, hemH
561667	563033	-	2	ybbJ, ybbK
563180	564623	+	2	ybbL, ybbM
567133	570331	+	3	ybbA, ybbP, STM14_0597
571806	574341	+	3	sfbA, sfbB, sfbC
578161	580731	+	2	gcl, gip
583099	584573	+	2	ybbV, allP
586072	588541	+	2	ybbY, glxK
588621	591723	-	3	ylbA, allC, allD
592054	596705	+	4	fdrA, ylbE, ylbF, arcC
596746	598319	-	2	purK, purE
598437	599656	-	2	lpxH, ppiB
601258	603054	-	3	STM14_0628, STM14_0629, ybcI
603182	604262	-	2	ybcJ, folD
606019	610904	+	4	fimC, fimD, fimH, fimF
612186	613238	-	2	fimY, STM14_0643
615498	618416	-	3	STM14_0650, yfdH, gtrA
622504	623313	+	2	STM14_0660, STM14_0661
633934	637522	-	5	STM14_0669, STM14_0670, STM14_0671, STM14_0672, STM14_0673
638472	639421	-	2	ybdF, STM14_0676
639577	640051	+	2	STM14_0677, STM14_0678
640372	642206	-	2	ybdK, entD
642252	644635	-	2	fepA, STM14_0683
644696	650040	+	3	fes, ybdZ, entF
651479	654266	-	3	fepC, fepG, fepD
656949	661786	+	5	entC, entE, entB, entA, ybdB
661861	664073	+	2	STM14_0698, cstA
666746	668571	-	2	ybdM, ybdN
673845	677800	+	4	STM14_0709, STM14_0710, STM14_0711, STM14_0712
681401	688138	-	7	citT, citG, citX, citF, citE, citD, citC
688331	690833	+	3	STM14_0726, dpiB, dpiA
694152	695272	+	3	ybeM, STM14_0735, tatE
696364	697482	-	2	STM14_0738, ybeF
700248	705239	-	5	rlpA, mrdB, mrdA, ybeA, ybeB
707342	712203	-	4	nadD, holA, rlpB, STM14_0756
712491	713970	+	2	STM14_0757, STM14_0758
718694	720831	+	2	ybeR, ybeS
724785	726990	-	2	STM14_0768, rihA
727107	729246	-	3	gltL, gltK, gltJ
730669	736408	-	7	lnt, ybeX, STM14_0777, ybeY, phoL, STM14_0780, miaB
742189	744568	-	2	nagC, nagA
747918	749734	+	2	glnS, STM14_0800
749864	751437	+	2	STM14_0801, ybfM
753223	755752	-	2	citB, STM14_0806
759655	761895	+	2	seqA, pgm
762560	766074	-	2	potE, speF
766836	774729	-	6	kdpE, kdpD, kdpC, kdpB, kdpA, STM14_0826
778545	781610	+	4	ybgI, ybgJ, ybgK, ybgL
783151	784228	+	2	STM14_0836, STM14_0837
784514	787704	+	3	STM14_0838, STM14_0839, STM14_0840
787833	789317	+	2	STM14_0841, STM14_0842
798489	801718	+	4	sdhC, sdhD, sdhA, sdhB
802242	806266	+	2	kgd, sucB
806408	808597	+	3	sucC, sucD, STM14_0859
810026	813295	+	5	cydA, cydB, ybgT, STM14_0864, ybgE
813524	815049	+	3	ybgC, tolQ, tolR
816461	819110	+	3	tolB, pal, ybgF
820575	822362	+	2	nadA, pnuC
825260	826665	-	2	STM14_0885, STM14_0886
834757	836612	+	2	STM14_0894, STM14_0895
836703	841937	-	6	gpmA, STM14_0897, galM, galK, galT, galE
846015	848538	+	3	modA, modB, modC
852181	854342	+	2	hutI, hutG
860511	864123	+	4	bioB, bioF, bioC, bioD_1
864550	866795	+	2	STM14_0925, uvrB
867104	869582	+	2	STM14_927, slrP
870979	873682	+	5	moaA, moaB, moaC, moaD, moaE
874479	875082	+	2	STM14_936, tnpA_2
875292	877199	+	3	ybhM, STM14_939, STM14_940
877202	880160	-	3	ybhN, ybhO, ybhP
880665	886408	-	6	ybhR, STM14_946, ybhS, ybhF, STM14_949, ybiH
888210	891358	+	2	dinG, ybiB
892059	892444	-	2	ybiI, STM14_958
895794	897172	-	2	glnQ, glnP
897316	898181	-	2	glnH, STM14_965
899158	900506	-	4	STM14_967, ybiF, STM14_969, STM14_970
903323	904905	+	2	STM14_975, ybiR
911396	912321	+	2	STM14_982, ybiV(1)
912399	915736	-	2	pflF, pflE
915878	918004	-	3	STM14_986, moeB, moeA
918201	922595	+	3	ybiK, yliA, yliB
922656	924490	+	2	yliC, yliD
924480	925906	-	2	STM14_995, yliG
927233	929478	+	3	STM14_1001, STM14_1002, STM14_1003
940833	942856	-	2	STM14_1017, STM14_1018
942902	943644	+	2	STM14_1019, STM14_1020
946559	947555	+	2	ybjC, mdaA
950637	953575	+	3	potG, potH, potI
955378	958768	+	4	STM14_1034, ulaA_1, STM14_1036, STM14_1037
958765	959718	-	2	STM14_1038, artJ
959955	962823	-	4	artM, artQ, artI, artP
963696	964846	+	2	orfB, ybjR
965952	970154	-	3	ybjT, ltaA, poxB
970312	972944	-	2	hcr, hcp
973986	975847	+	2	STM14_1055, ybjD
976940	980001	+	2	ybjY, ybjZ
980676	983303	+	2	clpS, clpA
983350	983953	+	2	STM14_1065, tnpA_3
984416	985671	-	3	STM14_1068, STM14_1069, STM14_1070
986008	987565	-	2	STM14_1072, STM14_1073
988676	989910	-	3	infA, STM14_1076, aat
989955	993443	-	2	cydC, cydD
994689	995142	-	2	STM14_1081, STM14_1082
999925	1001892	+	2	lolA, ycaJ
1001941	1003443	+	2	STM14_1087, serS
1003680	1007754	+	4	dmsA, dmsB, dmsC, STM14_1092
1018831	1019754	+	3	STM14_1102, ycaP, STM14_1104
1026487	1031516	+	3	ycaI, msbA, lpxK
1032844	1033769	+	2	ycaR, kdsB
1035765	1043034	+	4	smtA, mukF, mukE, mukB
1045480	1046703	+	2	ycbK, ycbL
1046765	1049231	-	3	aspC, STM14_1129, ompF
1051307	1052118	-	3	STM14_1133, STM14_1134, STM14_1135
1053504	1055112	+	2	STM14_1137, STM14_1138
1058495	1062500	-	2	STM14_1143, STM14_1144
1062627	1063359	-	3	STM14_1145, STM14_1146, STM14_1147
1063939	1064518	+	2	STM14_1149, STM14_1150
1064603	1067004	+	4	STM14_1151, STM14_1152, STM14_1153, STM14_1154
1068313	1070665	+	5	STM14_1158, STM14_1159, STM14_1160, STM14_1161, STM14_1162
1073250	1074518	+	3	STM14_1167, STM14_1168, STM14_1169
1074726	1077354	+	2	STM14_1170, STM14_1171
1077554	1081106	+	2	STM14_1172, STM14_1173
1081197	1083518	+	5	STM14_1174, STM14_1175, STM14_1176, STM14_1177, STM14_1178
1083564	1084288	+	2	STM14_1179, STM14_1180
1084368	1087684	+	2	STM14_1181, STM14_1182
1089020	1091064	+	3	STM14_1185, STM14_1186, STM14_1187
1091136	1094767	+	2	STM14_1188, STM14_1189
1094821	1097840	+	2	STM14_1190, STM14_1191
1100627	1101597	-	2	STM14_1196, STM14_1197
1108229	1115730	+	5	ycbY, uup, pqiA, pqiB, ymbA
1120718	1121352	-	2	sulA, STM14_1216
1122036	1124654	-	2	yccS, yccF
1130516	1131869	+	2	STM14_1226, STM14_1227
1136217	1138260	-	2	pipC, sopB
1140624	1142661	-	2	copS, copR
1143540	1145632	-	2	hpaC, hpaB
1145850	1146388	-	2	hpaR, STM14_1249
1146565	1150560	+	4	hpaG, hpaE, hpaD, hpaF
1150703	1152308	+	2	hpaH, hpaI
1152380	1155614	+	3	hpaX, hpaA, STM14_1259
1157038	1158263	-	2	yccD, cbpA
1158909	1161911	+	3	scsB, scsC, scsD
1163319	1164163	-	2	yccJ, wraB
1164294	1164715	+	2	STM14_1273, ymdF
1170030	1170286	-	2	STM14_1279, STM14_1280
1172347	1172747	+	2	STM14_1282, STM14_1283
1176396	1177299	-	2	STM14_1289, STM14_1290
1179986	1182383	+	2	STM14_1295, STM14_1296
1184250	1185565	+	2	ycdX, ycdY
1186187	1188696	-	5	csgG, csgF, csgE, csgD, STM14_1307
1191175	1193137	+	2	STM14_1313, ymdC
1193154	1194509	-	2	mdoC, STM14_1316
1194580	1198651	+	2	mdoG, mdoH
1203022	1204166	-	2	yceI, STM14_1326
1210669	1212861	+	3	rimJ, yceH, mviM
1214782	1215502	-	2	flgN, flgM
1215594	1216396	-	2	flgA, STM14_1344
1216410	1220754	+	6	flgB, flgC, flgD, flgE, flgF, flgG
1220809	1223566	+	3	flgH, flgI, flgJ
1223631	1226260	+	2	flgK, flgL
1235475	1238120	+	3	fabH, fabD, fabG
1239963	1244237	+	5	pabC, yceG, tdk_1, holB, ycfH
1248566	1252362	+	6	ycfF, ycfL, ycfM, thiK, nagZ, ycfP
1255945	1260504	-	3	ycfS, STM14_1390, mfd
1260842	1265759	+	5	ycfU, lolD, ycfW, ycfX, cobB
1265841	1267691	-	2	potD, potC
1269346	1271329	-	2	potB, potA
1276100	1278237	-	2	phoQ, phoP
1278361	1280382	-	2	purB, ycfC
1281623	1283087	-	3	ymfB, STM14_1414, ymfC
1284622	1285990	-	2	STM14_1417, STM14_1418
1286040	1288099	-	4	STM14_1419, STM14_1420, STM14_1421, STM14_1422
1290945	1291224	-	2	STM14_1425, STM14_1426
1293547	1294114	+	2	STM14_1430, STM14_1431
1294206	1297882	+	6	STM14_1432, STM14_1433, STM14_1434, STM14_1435, STM14_1436, STM14_1437
1298794	1300881	+	6	STM14_1440, STM14_1441, STM14_1442, STM14_1443, STM14_1444, STM14_1445
1303055	1303874	+	2	STM14_1450, STM14_1451
1304044	1304647	+	2	STM14_1452, STM14_1453
1305561	1311619	+	6	STM14_1455, STM14_1456, STM14_1457, STM14_1458, STM14_1459, STM14_1460
1313135	1314124	+	2	STM14_1463, STM14_1464
1315412	1316567	+	2	STM14_1466, STM14_1467
1316618	1321455	+	5	STM14_1468, STM14_1469, STM14_1470, STM14_1471, STM14_1472
1322806	1329528	+	5	STM14_1475, STM14_1476, STM14_1477, STM14_1478, STM14_1479
1337312	1337585	+	2	STM14_1488, STM14_1489
1339871	1340575	-	2	envE, STM14_1494
1341060	1341414	-	2	STM14_1496, pagD
1349098	1353883	+	5	STM14_1515, STM14_1516, STM14_1517, STM14_1518, STM14_1519
1358166	1359201	+	2	STM14_1527, STM14_1528
1361381	1361928	+	2	yeaR, yoaG
1362921	1363362	+	2	STM14_1538, yeaQ
1363413	1363599	-	2	STM14_1540, STM14_1541
1364412	1364856	-	2	yeaO, STM14_1545
1370048	1370267	+	2	STM14_1554, STM14_1555
1377451	1378511	-	2	yeaD, STM14_1564
1381091	1382790	-	2	pncA, ansA
1385585	1388582	+	2	selD, topB
1392170	1398449	+	6	argD_1, astA, astD, astB, astE, STM14_1587
1400095	1401129	-	2	nadE, STM14_1591
1403595	1404795	+	2	celC, celD
1404920	1407046	+	2	celF, celG
1418196	1419361	+	2	STM14_1613, STM14_1614
1421769	1422090	+	2	STM14_1617, STM14_1618
1422178	1424652	+	2	thrS, infC
1425654	1429344	+	3	pheS, pheT, ihfA
1430619	1431919	+	2	btuE, btuD
1441896	1443472	-	2	ydiT, ydiS
1443529	1445250	-	2	ydiR, ydiQ
1446679	1449439	-	2	ydiO, ydiF
1456480	1459943	+	2	ydiJ, STM14_1660
1462291	1467810	+	6	sufA, sufB, sufC, sufD, sufS, ynhA
1471716	1473974	-	2	orf48, orf32
1474033	1476008	-	2	orf245, orf408
1476331	1481161	-	3	ttrA, ttrC, ttrB
1481325	1483698	+	2	ttrS, ttrR
1486016	1489574	-	3	STM14_1685, ssrB, ssrA
1489975	1493313	+	4	ssaB, ssaC, ssaD, ssaE
1493577	1497449	+	6	STM14_1693, STM14_1694, sscA, sseC, sseD, sseE
1497501	1499419	+	3	sscB, sseF, sseG
1499769	1503221	+	6	ssaH, ssaI, ssaJ, STM14_1706, ssaK, ssaL
1503279	1508652	+	6	ssaM, ssaV, ssaN, ssaO, ssaP, ssaQ
1508720	1511602	+	5	ssaR, ssaS, ssaT, ssaU, STM14_1719
1526523	1529661	-	3	STM14_1739, ydhJ, ydhI
1538533	1544905	-	7	nth, ydgQ, ydgP, rnfD, STM14_1756, ydgM, STM14_1758
1549052	1550685	-	2	STM14_1767, ydgA
1552163	1553906	+	2	fumA, STM14_1771
1557794	1560786	-	3	STM14_1775, STM14_1776, ompN
1562521	1564087	-	3	ydgI, STM14_1782, STM14_1783
1565673	1568601	+	2	pntA, pntB
1570228	1570906	+	2	ydgF, ydgE
1570946	1572284	-	3	STM14_1793, STM14_1794, STM14_1795
1572462	1573932	-	2	STM14_1796, ynfM
1578501	1581947	-	4	STM14_1802, STM14_1803, STM14_1804, STM14_1805
1582909	1589371	-	5	STM14_1807, STM14_1808, STM14_1809, STM14_1810, STM14_1811
1590688	1591757	-	3	speG, ynfB, STM14_1816
1592226	1594470	+	2	rspA, rspB
1595845	1597513	+	2	STM14_1821, ydfI
1606827	1607908	-	3	marB, marA, marR
1612621	1613906	+	2	yneH, yneG
1617651	1624881	-	9	STM14_1849, STM14_1850, STM14_1851, STM14_1852, STM14_1853, STM14_1854, STM14_1855, STM14_1856, STM14_1857
1627297	1629583	-	2	STM14_1861, STM14_1862
1631386	1634125	-	2	STM14_1864, STM14_1865
1636542	1637064	-	2	STM14_1870, STM14_1871
1637216	1637753	+	2	STM14_1872, STM14_1873
1643258	1645924	+	2	STM14_1879, STM14_1880
1648169	1652478	-	2	STM14_1882, STM14_1883
1655788	1657634	+	2	sfcA, STM14_1890
1658872	1663466	-	3	fdnI, fdnH, fdnG
1668391	1669093	+	2	STM14_1901, STM14_1902
1670664	1677317	+	4	narZ, narY, narW, narV
1678352	1680113	-	3	nhoA, STM14_1911, STM14_1912
1686958	1688143	-	2	STM14_1923, yncB
1688322	1689286	+	2	yncA, ydcZ
1689748	1696194	+	3	srfA, srfB, srfC
1696611	1696807	+	2	STM14_1932, STM14_1933
1700960	1701621	-	2	STM14_1937, ugtL
1708339	1709935	-	2	tehB, tehA
1711642	1715315	+	5	STM14_1950, STM14_1951, STM14_1952, STM14_1953, STM14_1954
1715447	1717772	+	4	STM14_1955, STM14_1956, STM14_1957, STM14_1958
1717819	1719608	-	2	STM14_1959, STM14_1960
1727650	1729075	-	2	STM14_1968, STM14_1969
1733868	1736716	+	4	STM14_1977, STM14_1978, STM14_1979, STM14_1980
1746608	1749766	-	3	ydbL, ynbE, ydbH
1761254	1762580	-	2	STM14_2003, STM14_2004
1770326	1773159	-	2	STM14_2015, STM14_2016
1779789	1780830	-	2	STM14_2024, STM14_2025
1786154	1786757	+	2	STM14_2031, tnpA_5
1788559	1791020	-	2	ycjF, ycjX
1791553	1792377	-	3	pspD, pspC, pspB
1794368	1799656	+	5	sapA, sapB, sapC, sapD, sapF
1802254	1802707	+	2	STM14_2051, ycjE
1807079	1809213	+	2	STM14_2057, yciR
1810950	1812013	-	2	yciH, pyrF
1812204	1813688	-	2	yciM, yciS
1825058	1826406	+	2	yciK, btuR
1829239	1835767	+	5	trpE, trpD, trpC, trpB, trpA
1837096	1838500	+	2	yciE, STM14_2094
1839558	1840731	+	2	STM14_2096, yciC
1843557	1845380	+	2	cls, yciU
1846312	1850175	-	4	oppF, oppD, oppC, oppB
1857972	1858580	+	2	hns, STM14_2117
1866186	1872845	-	4	narI, narJ, narH, narG
1874971	1877410	+	2	narX, narL
1881096	1885102	-	5	kdsA, ychA, sirC, hemK, prfA
1886713	1888184	+	2	lolB, ipk
1888181	1888433	-	2	STM14_2151, STM14_2152
1895517	1901007	+	6	STM14_2161, STM14_2162, STM14_2163, STM14_2164, STM14_2165, STM14_2166
1901082	1903876	+	3	STM14_2167, STM14_2168, STM14_2169
1912294	1914676	-	2	dadX, dadA
1922776	1924589	+	3	minC, minD, minE
1925975	1926578	-	2	tnpA_6, STM14_2198
1932571	1934517	+	2	pabB, yeaB
1937906	1939788	-	2	yoaE, STM14_2211
1940959	1942623	+	2	manY, manZ
1944987	1946859	-	2	STM14_2218, STM14_2219
1946952	1947317	-	2	cspC, yobF
1947434	1947696	+	2	STM14_2222, STM14_2223
1949076	1949978	-	2	kdgR, STM14_2229
1952539	1955293	-	2	prc, proQ
1956017	1959902	+	2	yebS, STM14_2236
1959980	1961773	+	3	yebU, STM14_2238, STM14_2239
1971959	1972741	+	2	STM14_2257, STM14_2258
1974881	1976180	-	2	mig-3, STM14_2267
1976705	1976927	+	2	STM14_2270, STM14_2271
1977760	1979327	+	2	STM14_2274, STM14_2275
1979701	1981321	-	3	STM14_2278, STM14_2279, yobA
1981797	1983175	+	2	STM14_2282, exoX
1988347	1990985	-	3	eda, edd, STM14_2291
1996485	1998764	-	2	yebA, znuA
1998843	2000380	+	2	znuC, znuB
2000459	2002089	-	2	ruvB, ruvA
2004632	2006412	-	3	ruvC, yebC, ntpA
2008612	2009993	+	2	yecD, yecE
2010482	2012193	+	2	yecO, yecP
2012429	2013764	-	2	cutC, yecM
2013869	2015734	+	2	STM14_2321, argS
2015793	2017794	+	2	STM14_2323, STM14_2324
2019224	2022838	-	3	flhE, flhA, flhB
2023032	2026006	-	4	cheZ, cheY, cheB, cheR
2028058	2033471	-	7	cheW, cheA, motB, motA, STM14_2339, flhC, flhD
2034145	2034686	+	2	STM14_2343, yecG
2034704	2036903	-	2	otsA, otsB
2047823	2050308	-	2	uvrC, uvrY
2050620	2050996	+	2	STM14_2366, yecF
2052017	2054441	-	3	yecC, yecS, yedO
2057140	2058984	-	3	tnpA_7, STM14_2376, fliB
2059063	2060705	-	2	fliC, STM14_2379
2060807	2063000	+	3	fliD, fliS, fliT
2065147	2066642	+	2	yedE, yedF
2067944	2074363	+	6	fliF, fliG, fliH, fliI, fliJ, fliK
2074468	2078550	+	7	fliL, fliM, fliN, fliO, fliP, fliQ, fliR
2084253	2085294	+	2	STM14_2411, yedA
2085283	2087164	-	2	vsr, dcm
2088843	2090170	+	2	STM14_2417, ompS
2090431	2090842	-	2	STM14_2419, cspB
2091297	2092987	-	2	umuC, umuD
2093114	2093495	-	2	STM14_2424, STM14_2425
2095632	2098337	-	3	STM14_2430, STM14_2431, STM14_2432
2099413	2109106	-	14	STM14_2434, STM14_2435, STM14_2436, STM14_2437, STM14_2438, STM14_2439, STM14_2440, STM14_2441, STM14_2442, STM14_2443, STM14_2444, STM14_2445, STM14_2446, STM14_2447
2109157	2114664	-	6	STM14_2448, STM14_2449, STM14_2450, STM14_2451, STM14_2452, STM14_2453
2115612	2116142	-	2	STM14_2456, STM14_2457
2116355	2117798	-	3	STM14_2458, STM14_2459, STM14_2460
2118324	2120301	-	3	STM14_2462, STM14_2463, STM14_2464
2120345	2125982	-	9	STM14_2465, STM14_2466, STM14_2467, STM14_2468, STM14_2469, STM14_2470, STM14_2471, STM14_2472, STM14_2473
2129593	2133610	+	7	STM14_2478, STM14_2479, STM14_2480, STM14_2481, STM14_2482, STM14_2483, STM14_2484
2144508	2145214	-	2	STM14_2496, STM14_2497
2145928	2147539	-	2	yeeO, STM14_2501
2148854	2155168	-	8	cobT, cobS, cobU, cbiP, cbiO, cbiQ, cbiN, cbiM
2155255	2165352	-	12	cbiL, cbiK, cbiJ, cbiH, cbiG, cbiF, cbiT, cbiE, cbiD, cbiC, cbiB, cbiA
2168398	2184206	+	20	pduA, pudB, pduC, pduD, pduE, pduG, pduH, pduJ, pduK, pduL, pduM, pduN, pduO, pduP, pduQ, pduS, pduT, pduU, pduV, pduW
2185200	2185701	-	2	yeeX, STM14_2549
2188873	2192503	-	3	phsC, phsB, phsA
2202169	2208303	+	7	hisD, hisC, hisB, hisH, hisA, hisF, hisI
2213985	2218851	-	4	rfbK, rfbM, rfbN, rfbU
2219171	2221469	-	2	rfbV, rfbX
2221551	2228100	-	7	rfbJ, rfbH, rfbG, rfbF, rfbI, rfbC, rfbA
2228148	2230132	-	2	rfbD, rfbB
2231580	2236991	-	4	wcaM, wcaL, wcaK, wzxC
2240053	2250366	-	11	manC, wcaI, wcaH, wcaG, gmd, wcaF, wcaE, wcaD, wcaC, wcaB, wcaA
2250453	2254203	-	3	wzc, wzb, wza
2256544	2259020	-	2	asmA, dcd
2265837	2276812	+	6	STM14_2624, yegN, yegO, yegB, baeS, baeR
2277399	2281121	+	3	STM14_2631, STM14_2632, STM14_2633
2287824	2291058	+	3	yegT, yegU, yegV
2291032	2293398	-	3	yegW, thiD, thiM
2294385	2298594	-	3	stcD, stcC, stcB
2305297	2307800	-	2	yehT, yehU
2308800	2312545	-	4	yehW, yehX, yehY, yehZ
2317078	2318778	-	3	pbpG, STM14_2674, yohC
2318810	2319506	+	2	STM14_2676, yohD
2323324	2328309	-	5	STM14_2682, STM14_2683, STM14_2684, STM14_2685, STM14_2686
2329475	2330565	+	2	yohJ, yohK
2331780	2332741	+	2	sanA, STM14_2692
2332946	2335416	+	2	STM14_2693, yeiA
2335491	2338037	-	2	mglC, mglA
2340840	2342848	-	4	yeiB, folE, STM14_2704, STM14_2705
2342834	2343852	+	2	STM14_2706, fghA
2343841	2345787	-	3	STM14_2708, STM14_2709, STM14_2710
2345819	2348061	+	2	STM14_2711, STM14_2712
2351963	2353110	-	3	STM14_2716, yeiE, STM14_2718
2355134	2358907	-	3	fruA, fruK, fruF
2360522	2361311	-	2	STM14_2728, STM14_2729
2363062	2364797	+	2	yeiR, yeiU
2367772	2373297	+	4	yejA, yejB, yejE, yejF
2373810	2375949	-	3	STM14_2745, bcr, rsuA
2378246	2380034	-	3	STM14_2750, STM14_2751, yejK
2380214	2382233	+	2	yejL, yejM
2386387	2388158	-	2	STM14_2760, STM14_2761
2388219	2389207	-	3	STM14_2762, STM14_2763, STM14_2764
2390737	2392347	-	3	STM14_2766, STM14_2767, STM14_2768
2398946	2403890	-	6	ccmH_1, ccmG_1, ccmF_1, ccmE_1, ccmD_1, ccmC_1
2403942	2406297	-	4	ccmB_1, ccmA_1, napC, napB
2406413	2411198	-	5	napH, napG, napA, napD, napF
2414034	2415748	-	2	alkB, ada
2418861	2422197	+	2	yojN, rcsB
2422300	2427900	-	3	rcsC, STM14_2803, gyrA
2427980	2428293	+	2	STM14_2805, STM14_2806
2428310	2430852	-	2	STM14_2807, STM14_2808
2435351	2436735	+	2	nrdB, yfaE
2439083	2441516	-	2	glpQ, glpT
2441789	2445853	+	3	glpA, glpB, glpC
2446155	2447301	+	2	STM14_2823, sseL
2447411	2449711	-	3	STM14_2825, STM14_2826, yfaV
2449767	2451768	-	2	yfaW, yfaX
2455524	2462876	+	7	yfbE, pmrF, yfbG, STM14_2838, arnT, STM14_2840, STM14_2841
2463226	2468849	-	5	menE, menC, menB, yfbB, menD
2475538	2475836	+	2	STM14_2855, STM14_2856
2475906	2478899	-	2	nuoN, nuoM
2479213	2489842	-	9	nuoL, nuoK, nuoJ, nuoI, nuoH, nuoG, nuoF, nuoE, nuoC
2489929	2491050	-	2	nuoB, nuoA
2497449	2498613	-	2	yfbT, yfbU
2498696	2499430	-	2	STM14_2879, STM14_2880
